,time,c1,c2,c3,c4,p1,p2
0,144481,0,-2,0,-2,1059,2019
1,224477,0,0,0,-1,1060,2019
2,304485,0,-1,0,-1,1060,2019
3,384483,0,0,0,-1,1059,2019
4,464463,0,-1,0,-1,1059,2019
5,544461,0,0,0,-1,1059,2019
6,624458,0,-1,0,-1,1060,2019
7,704463,0,0,0,0,1060,2019
8,784452,2,-1,0,-1,1060,2019
9,864452,0,0,0,-1,1060,2019
10,944444,1,-1,0,-2,1060,2019
11,1024469,0,0,0,0,1060,2019
12,1104502,1,0,0,-1,1061,2019
13,1184446,5,-1,0,-1,1061,2019
14,1264469,6,0,0,0,1061,2019
15,1344702,0,-1,0,-1,1062,2019
16,1424710,9,0,0,0,1062,2019
17,1504455,11,-1,0,-1,1062,2019
18,1584413,7,-1,0,-1,1062,2019
19,1664393,16,1,0,-1,1063,2019
20,1744397,15,0,0,-1,1063,2019
21,1824425,17,-5,0,0,1063,2019
22,1904410,19,-2,0,-1,1063,2018
23,1984401,21,-7,0,-1,1063,2019
24,2064385,21,-4,0,-1,1063,2019
25,2144380,22,-2,0,0,1063,2019
26,2224379,27,-2,0,-1,1064,2019
27,2304362,29,-8,0,-1,1064,2019
28,2384365,27,-4,0,-1,1064,2019
29,2464380,27,-5,0,-1,1064,2019
30,2544362,26,-10,0,-1,1064,2019
31,2624348,8,-4,0,-2,1067,2019
32,2704346,7,-2,0,-2,1067,2019
33,2784349,3,0,0,-2,1067,2019
34,2864347,11,0,0,-2,1068,2019
35,2944324,18,-1,0,-3,1068,2019
36,3024324,18,-1,0,-3,1068,2019
37,3104331,20,-1,0,-3,1069,2019
38,3184328,19,-1,0,-3,1069,2019
39,3264310,19,-1,0,-3,1069,2019
40,3344315,21,-1,0,-3,1069,2019
41,3424314,22,-1,0,-3,1069,2019
42,3504310,22,-1,0,-3,1069,2019
43,3584291,24,-1,0,-3,1069,2019
44,3664320,5,-6,0,-4,1071,2019
45,3744297,3,0,0,-4,1071,2019
46,3824322,16,0,0,-3,1072,2019
47,3904283,14,-6,0,-3,1072,2019
48,3984286,15,-5,0,-4,1072,2019
49,4064280,22,-2,0,-3,1072,2019
50,4144258,21,-2,0,-3,1072,2019
51,4224263,21,-2,0,-3,1072,2019
52,4304264,24,-2,0,-3,1072,2019
53,4384270,26,-6,0,-3,1072,2019
54,4464279,14,-11,0,-4,1073,2019
55,4544247,18,0,0,-3,1075,2019
56,4624260,15,-7,0,-3,1075,2019
57,4704245,16,-3,0,-4,1074,2019
58,4784227,21,-1,0,-4,1075,2019
59,4864240,21,-1,0,-4,1075,2019
60,4944251,22,-1,0,-4,1075,2019
61,5024241,24,-1,0,-4,1075,2019
62,5104213,26,-7,0,-3,1075,2019
63,5184212,25,-13,0,-3,1075,2019
64,5264220,29,-5,0,-3,1075,2019
65,5344214,28,-7,0,-3,1076,2019
66,5424195,29,-13,0,-3,1075,2019
67,5504193,35,-5,0,-3,1076,2019
68,5584224,14,-14,0,-4,1078,2019
69,5664193,0,0,0,-4,1079,2019
70,5744177,16,-1,0,-4,1080,2019
71,5824178,14,-1,0,-4,1080,2019
72,5904180,14,-2,0,-4,1080,2019
73,5984182,20,-1,0,-4,1081,2019
74,6064177,20,-1,0,-5,1080,2019
75,6144160,20,-1,0,-3,1080,2019
76,6224174,23,-1,0,-3,1080,2019
77,6304168,24,-2,0,-3,1080,2019
78,6384152,23,-6,0,-4,1080,2019
79,6464150,27,-5,0,-4,1081,2019
80,6544148,27,-7,0,-4,1081,2019
81,6624156,27,-12,0,-4,1081,2019
82,6704125,32,-5,0,-4,1082,2019
83,6784134,29,-14,0,-4,1082,2019
84,6864142,31,-7,0,-4,1081,2018
85,6944173,36,-14,0,-4,1082,2019
86,7024119,10,-13,0,-4,1084,2019
87,7104128,0,1,0,-5,1085,2019
88,7184114,14,-1,0,-3,1086,2019
89,7264125,14,-1,0,-4,1086,2019
90,7344089,15,-1,0,-4,1086,2019
91,7424110,19,-1,0,-3,1086,2019
92,7504099,21,-2,0,-4,1086,2019
93,7584159,21,-2,0,-3,1086,2019
94,7664097,24,-2,0,-4,1087,2019
95,7744094,24,-6,0,-4,1087,2019
96,7824079,26,-13,0,-4,1087,2019
97,7904070,27,-5,0,-4,1087,2019
98,7984085,27,-7,0,-3,1087,2019
99,8064114,27,-13,0,-4,1087,2019
100,8144065,32,-5,0,-4,1088,2019
101,8224052,33,-13,0,-3,1088,2019
102,8304051,29,-9,0,-3,1087,2019
103,8384046,22,-6,0,-3,1089,2019
104,8464051,1,-3,0,-4,1092,2019
105,8544023,5,0,0,-3,1092,2019
106,8624027,15,-1,0,-4,1092,2019
107,8704030,14,-1,0,-4,1092,2019
108,8784052,14,-1,0,-4,1092,2019
109,8864034,18,-1,0,-4,1093,2019
110,8944018,18,-1,0,-4,1092,2019
111,9024015,19,-1,0,-4,1093,2019
112,9104009,24,-1,0,-3,1093,2019
113,9183999,22,-6,0,-4,1093,2019
114,9263992,23,-5,0,-4,1093,2019
115,9343997,25,-3,0,-3,1093,2019
116,9423996,27,-7,0,-3,1093,2019
117,9503990,27,-13,0,-3,1093,2019
118,9583984,29,-5,0,-3,1093,2019
119,9663973,36,-7,0,-4,1093,2019
120,9743981,33,-22,0,-4,1093,2019
121,9823960,7,-5,0,-4,1096,2019
122,9903960,11,0,0,-4,1097,2019
123,9983964,10,-1,0,-4,1097,2019
124,10063965,15,-2,0,-4,1097,2019
125,10143941,18,-2,0,-4,1098,2019
126,10223956,15,-2,0,-4,1098,2019
127,10303949,20,-2,0,-4,1098,2019
128,10383951,22,-2,0,-4,1098,2019
129,10463941,22,-2,0,-4,1098,2019
130,10543929,25,-2,0,-4,1098,2019
131,10623931,24,-6,0,-4,1098,2019
