,time,c1,c2,c3,c4,p1,p2
0,143956,0,-1,0,-3,1063,2021
1,223928,0,0,0,-3,1063,2021
2,303918,0,-1,0,-3,1063,2021
3,383930,0,0,0,-3,1064,2021
4,463925,0,-1,0,-3,1063,2021
5,543886,0,0,0,-3,1063,2021
6,623924,0,-1,0,-3,1063,2021
7,703941,3,0,0,-3,1064,2021
8,783935,0,-7,0,-3,1064,2020
9,863893,2,-1,0,-3,1064,2021
10,943938,3,-2,0,-3,1064,2021
11,1023913,5,-5,0,-3,1064,2020
12,1103902,10,-26,0,-3,1065,2020
13,1183908,9,-31,0,-3,1065,2021
14,1263874,13,-25,0,-3,1065,2020
15,1343823,14,-48,0,-3,1065,2020
16,1423877,10,-46,0,-3,1066,2020
17,1503880,13,-27,0,-3,1066,2020
18,1583881,12,-51,0,-3,1066,2020
19,1663869,13,-26,0,-3,1066,2020
20,1743869,14,-53,0,-3,1067,2020
21,1823853,14,-34,0,-3,1067,2020
22,1903827,18,-54,0,-3,1067,2020
23,1983859,13,-63,0,-3,1068,2020
24,2063817,17,-25,0,-3,1068,2020
25,2143849,17,-70,0,-4,1069,2020
26,2223807,12,-40,0,-3,1069,2019
27,2303817,7,-36,0,-4,1069,2019
28,2383844,13,-21,0,-5,1070,2020
29,2463833,14,-50,0,-6,1070,2020
30,2543799,14,-40,0,-5,1069,2019
31,2623796,20,-53,0,-4,1070,2019
32,2703803,21,-72,0,-4,1070,2019
33,2783833,19,-65,0,-4,1071,2019
34,2863787,23,-54,0,-5,1071,2019
35,2943760,21,-80,0,-3,1071,2019
36,3023777,16,-54,0,-4,1072,2019
37,3103814,18,-50,0,-4,1072,2019
38,3183792,19,-65,0,-4,1072,2019
39,3263760,19,-54,0,-5,1072,2019
40,3343725,22,-68,0,-5,1073,2019
41,3423745,22,-76,0,-4,1073,2019
42,3503780,23,-68,0,-4,1073,2019
43,3583784,23,-82,0,-5,1073,2019
44,3663792,19,-65,0,-4,1074,2018
45,3743763,17,-54,0,-5,1075,2019
46,3823737,21,-51,0,-4,1075,2018
47,3903738,22,-77,0,-7,1074,2018
48,3983788,20,-69,0,-5,1075,2018
49,4063729,25,-64,0,-4,1075,2018
50,4143677,21,-78,0,-4,1076,2017
51,4223726,13,-54,0,-4,1077,2017
52,4303707,19,-46,0,-4,1077,2017
53,4383710,12,-74,0,-4,1078,2017
54,4463713,14,-27,0,-4,1078,2017
55,4543693,19,-36,0,-4,1078,2017
56,4623707,14,-72,0,-4,1079,2016
57,4703719,11,-33,0,-4,1079,2017
58,4783700,16,-35,0,-4,1080,2016
59,4863695,18,-60,0,-4,1080,2016
60,4943695,11,-56,0,-4,1080,2016
61,5023676,17,-31,0,-4,1081,2017
62,5103650,13,-60,0,-4,1081,2016
63,5183674,1,-28,0,-4,1081,2016
64,5263688,11,1,0,-3,1082,2017
65,5343693,14,-9,0,-5,1082,2016
66,5423646,10,-73,0,-3,1082,2016
67,5503647,12,-29,0,-3,1083,2017
68,5583686,8,-17,0,-3,1083,2016
69,5663669,13,-45,0,-3,1083,2016
70,5743624,20,-35,0,-3,1083,2016
71,5823640,17,-64,0,-3,1084,2016
72,5903616,0,-58,0,-3,1085,2016
73,5983601,1,1,0,-3,1086,2017
74,6063589,0,-2,0,-3,1086,2017
75,6143621,0,0,0,-2,1086,2017
76,6223609,6,-1,0,-2,1086,2017
77,6303672,3,-13,0,-2,1087,2017
78,6383614,3,-14,0,-2,1086,2017
79,6463617,13,-3,0,-2,1087,2017
80,6543594,14,-26,0,-2,1087,2016
81,6623583,0,-63,0,-2,1088,2016
82,6703595,5,1,0,-2,1088,2017
83,6783604,0,-1,0,-2,1089,2017
84,6863597,0,0,0,-2,1089,2017
85,6943581,9,-2,0,-2,1090,2017
86,7023559,7,-13,0,-2,1090,2016
87,7103595,0,-44,0,-2,1090,2016
88,7183574,4,1,0,-2,1090,2017
89,7263579,0,-1,0,-2,1091,2017
90,7343562,1,1,0,-2,1090,2017
91,7423573,2,-1,0,-2,1092,2017
92,7503563,0,-3,0,-2,1093,2017
93,7583594,-22,-13,0,-2,1095,2019
94,7663573,-4,-54,0,-2,1096,2016
95,7743527,0,2,0,0,1093,2018
96,7823537,-24,-10,0,0,1096,2020
97,7903541,-10,-64,0,-2,1097,2017
98,7983528,0,2,0,0,1093,2017
99,8063508,-10,-13,0,0,1097,2019
100,8143518,-1,-42,0,0,1097,2019
101,8223521,-5,1,0,0,1097,2020
102,8303489,-7,-11,0,0,1098,2019
103,8383496,-3,-30,0,0,1098,2019
104,8463512,-3,1,0,0,1098,2020
105,8543494,-4,-15,0,0,1099,2020
106,8623482,-2,-8,0,0,1099,2020
107,8703493,-1,-2,0,0,1099,2020
108,8783498,-1,-2,0,0,1099,2020
109,8863503,0,-2,0,0,1099,2020
110,8943481,0,0,0,0,1099,2020
111,9023464,0,-1,0,0,1099,2020
112,9103484,0,0,0,0,1099,2020
113,9183471,0,-1,0,0,1099,2020
114,9263455,0,0,0,0,1099,2020
115,9343467,0,-2,0,0,1100,2020
116,9423460,0,0,0,0,1100,2020
117,9503473,0,-1,0,0,1100,2020
118,9583439,0,0,0,0,1101,2020
119,9663449,-4,-2,0,0,1102,2020
120,9743428,-1,-15,0,0,1102,2020
121,9823447,0,1,0,0,1102,2020
122,9903428,0,-2,0,0,1102,2021
123,9983430,0,6,0,0,1102,2021
124,10063433,0,0,0,0,1103,2021
125,10143414,0,0,0,0,1103,2021
