,time,c1,c2,c3,c4,p1,p2
0,144699,0,-1,-1,-3,1067,2021
1,224664,0,0,-1,-3,1067,2021
2,304668,0,-1,-1,-3,1067,2021
3,384658,0,0,-1,-3,1067,2021
4,464675,0,0,-1,-3,1067,2021
5,544638,0,-1,-1,-3,1067,2021
6,624644,0,0,-1,-3,1067,2021
7,704663,0,0,-1,-3,1067,2021
8,784656,1,-1,-1,-3,1067,2021
9,864636,0,-1,-1,-3,1068,2021
10,944622,4,0,-1,-3,1068,2021
11,1024588,2,-8,-1,-3,1069,2021
12,1104624,1,-11,-1,-3,1069,2021
13,1184610,9,0,-1,-3,1069,2021
14,1264638,3,-21,-1,-3,1070,2021
15,1344622,6,2,-1,-3,1070,2021
16,1424609,13,-12,-1,-3,1070,2021
17,1504607,14,-52,-1,-3,1070,2020
18,1584610,5,-44,-1,-3,1070,2020
19,1664594,12,1,-1,-3,1071,2021
20,1744630,13,-14,-1,-3,1071,2020
21,1824558,0,-65,-1,-3,1072,2020
22,1904573,13,1,-1,-3,1072,2022
23,1984587,14,-1,-1,0,1072,2021
24,2064573,7,-72,-1,-2,1073,2020
25,2144560,10,1,-1,-2,1073,2020
26,2224594,13,-9,-1,-4,1073,2020
27,2304580,5,-65,-1,-2,1074,2020
28,2384527,14,1,-1,-4,1074,2021
29,2464534,14,-9,-1,-4,1074,2020
30,2544529,4,-68,-1,-3,1075,2019
31,2624553,10,1,-1,-3,1075,2021
32,2704537,13,-5,-1,-6,1075,2020
33,2784567,10,-62,-1,-4,1075,2019
34,2864534,17,-25,-1,-5,1076,2020
35,2944500,14,-32,-1,-4,1076,2019
36,3024538,15,-50,-1,-5,1076,2019
37,3104505,18,-34,-1,-4,1076,2019
38,3184505,20,-75,-1,-3,1076,2019
39,3264514,21,-48,-1,-4,1076,2019
40,3344537,23,-82,-1,-4,1077,2019
41,3424499,24,-53,-1,-4,1077,2019
42,3504487,22,-87,-1,-5,1077,2019
43,3584480,10,-44,-1,-3,1078,2018
44,3664480,14,-32,-1,-4,1079,2019
45,3744483,14,-50,-1,-4,1079,2019
46,3824489,19,-43,-1,-4,1079,2019
47,3904472,21,-61,-1,-4,1079,2019
48,3984488,21,-64,-1,-3,1079,2019
49,4064462,23,-64,-1,-4,1079,2018
50,4144476,24,-77,-1,-4,1079,2018
51,4224459,21,-70,-1,-4,1080,2018
52,4304474,24,-54,-1,-4,1080,2018
53,4384563,24,-76,-1,-5,1080,2018
54,4464481,10,-65,-1,-4,1082,2017
55,4544440,18,-29,-1,-4,1083,2018
56,4624441,18,-38,-1,-3,1082,2017
57,4704440,8,-68,-1,-4,1083,2017
58,4784435,15,2,-1,-4,1084,2018
59,4864432,15,-18,-1,-3,1084,2016
60,4944420,1,-76,-1,-3,1084,2016
61,5024406,7,1,-1,-2,1086,2018
62,5104405,0,-1,-1,-1,1086,2017
63,5184414,3,3,-1,-2,1085,2017
64,5264418,8,-12,-1,-2,1086,2017
65,5344405,12,-28,-1,-2,1086,2017
66,5424412,13,-39,-1,-2,1086,2017
67,5504414,16,-42,-1,-2,1086,2016
68,5584543,15,-48,-1,-1,1086,2016
69,5664372,15,-49,-1,-2,1087,2016
70,5744415,18,-33,-1,-2,1087,2016
71,5824380,8,-70,-1,-2,1088,2016
72,5904378,2,2,-1,-2,1089,2017
73,5984390,8,0,-1,-2,1090,2017
74,6064368,4,-12,-1,-2,1090,2016
75,6144369,2,-19,-1,-2,1090,2016
76,6224342,14,1,-1,-2,1090,2016
77,6304372,13,-32,-1,-2,1090,2016
78,6384356,0,-61,-1,-1,1091,2016
79,6464353,3,2,-1,0,1092,2017
80,6544359,0,-1,-1,0,1092,2017
81,6624314,0,0,-1,0,1092,2017
82,6704339,0,-2,-1,0,1092,2017
83,6784345,0,0,-1,0,1093,2017
84,6864345,5,-1,-1,-1,1093,2017
85,6944321,7,-5,-1,0,1093,2017
86,7024319,2,-33,-1,-1,1094,2017
87,7104306,0,1,-1,-1,1094,2017
88,7184312,3,0,-1,-1,1094,2017
89,7264385,0,-7,-1,-1,1095,2017
90,7344333,2,2,-1,-1,1095,2017
91,7424290,7,0,-1,0,1095,2017
92,7504308,12,-15,-1,-1,1095,2016
93,7584267,2,-51,-1,-1,1096,2016
94,7664276,2,1,-1,-2,1097,2017
95,7744293,0,-1,-1,-2,1099,2019
96,7824293,-28,-14,-1,0,1101,2019
97,7904260,-13,-67,-1,-1,1101,2015
98,7984276,0,2,-1,8,1098,2016
99,8064265,0,-29,-1,-7,1100,2019
100,8144276,-5,1,-1,-4,1102,2019
101,8224253,-12,-1,-1,-4,1102,2020
102,8304215,-11,-48,-1,-4,1102,2019
103,8384240,-4,-25,-1,-4,1102,2019
