,time,c1,c2,c3,c4,p1,p2
0,143998,-1,0,-1,-2,1056,2020
1,207967,0,0,-1,-2,1057,2020
2,271962,0,0,-1,-2,1057,2020
3,335961,5,0,0,-2,1057,2020
4,400002,0,0,0,-2,1057,2020
5,463950,3,0,0,-2,1057,2020
6,527960,4,0,0,-2,1057,2020
7,591996,4,0,0,-2,1058,2020
8,655991,7,0,0,-2,1058,2020
9,719959,11,-2,0,-2,1059,2020
10,799937,13,-14,0,-2,1059,2020
11,879925,17,-12,0,-2,1059,2020
12,959899,20,-12,0,-2,1060,2020
13,1039932,23,-13,0,-2,1059,2020
14,1119935,24,-12,-1,-2,1060,2020
15,1199917,26,-12,-1,-2,1060,2020
16,1279916,26,-2,-1,-2,1060,2020
17,1359916,28,-9,-1,-2,1060,2020
18,1439898,29,-12,-1,-2,1061,2020
19,1519887,34,-8,-1,-2,1061,2020
20,1599897,35,-13,-1,-2,1061,2020
21,1679860,40,-13,-1,-2,1061,2020
22,1759898,40,-12,-1,-2,1060,2020
23,1839921,44,-13,0,-2,1061,2020
24,1919849,28,-12,0,-2,1063,2020
25,1999879,29,-11,0,-2,1064,2019
26,2079903,33,-12,0,-2,1064,2019
27,2159881,34,-13,0,-4,1065,2019
28,2239848,35,-12,0,-4,1065,2019
29,2319845,38,-12,0,-4,1065,2019
30,2399846,39,-12,0,-4,1065,2019
31,2479887,41,-12,0,-5,1065,2019
32,2559857,34,-12,0,-4,1066,2019
33,2639875,43,-12,0,-4,1066,2019
34,2719812,45,-13,0,-4,1067,2019
35,2799815,49,-12,0,-3,1066,2019
36,2879833,46,-13,0,-4,1067,2019
37,2959898,49,-12,0,-4,1067,2019
38,3039837,51,-12,0,-4,1067,2019
39,3119826,56,-12,0,-4,1067,2019
40,3199793,57,-12,0,-4,1067,2019
41,3279768,58,-12,0,-3,1068,2019
42,3359851,43,-6,0,-8,1070,2019
43,3439849,51,-6,0,-5,1070,2018
44,3519832,52,-12,0,-6,1070,2018
45,3599788,53,-12,0,-8,1071,2018
46,3679762,53,-12,0,-4,1071,2018
47,3759800,58,-12,0,-5,1071,2018
48,3839806,58,-12,0,-9,1071,2018
49,3919802,72,-12,0,-4,1071,2018
50,3999776,64,-12,0,-7,1071,2018
51,4079733,65,-12,0,-6,1072,2018
52,4159732,42,-7,0,-8,1074,2017
53,4239947,18,-5,0,-4,1079,2016
54,4319731,0,-12,0,-4,1082,2016
55,4383759,6,-15,0,-4,1082,2016
56,4447878,9,-12,0,-4,1082,2016
57,4511776,15,-13,0,-3,1083,2016
58,4591721,16,-13,0,-3,1083,2016
59,4671712,23,-11,0,-3,1083,2016
60,4751737,21,-13,0,-4,1083,2016
61,4832012,22,-12,0,-4,1084,2016
62,4911978,0,-19,0,-4,1087,2017
63,4975701,-11,-58,0,-4,1090,2018
64,5055707,-10,7,0,-2,1090,2020
65,5119693,-16,0,0,0,1091,2020
66,5199861,-11,12,0,0,1091,2020
67,5279664,-5,10,0,0,1091,2020
68,5343807,-10,12,0,0,1092,2020
69,5407714,-4,11,0,0,1092,2020
70,5471715,-3,12,0,0,1092,2020
71,5535701,-3,11,0,0,1092,2020
72,5599647,-1,12,0,0,1092,2020
73,5663679,0,12,0,0,1092,2021
74,5727652,0,12,0,0,1092,2020
75,5791667,1,12,0,0,1093,2020
76,5855648,0,11,0,0,1093,2020
77,5919663,0,11,0,0,1093,2020
78,5983646,0,14,0,0,1094,2021
79,6047885,0,11,0,0,1095,2021
80,6111885,0,8,0,0,1095,2020
81,6175632,2,7,0,0,1095,2021
82,6239641,0,12,0,0,1096,2021
83,6303661,0,3,0,0,1096,2021
84,6367761,3,10,0,0,1096,2021
85,6431653,2,7,0,0,1097,2021
86,6495818,2,6,0,0,1097,2020
87,6559614,7,6,0,0,1098,2020
88,6623630,11,3,0,1,1099,2020
89,6703616,0,-10,0,0,1099,2020
90,6767658,0,-15,0,0,1100,2020
91,6831582,11,-12,0,0,1100,2020
92,6911871,13,-16,0,0,1100,2020
93,6991597,15,-12,0,0,1100,2020
94,7071624,8,-11,0,0,1101,2020
95,7135568,15,-12,0,0,1102,2020
96,7215578,14,-13,0,0,1102,2020
97,7295584,19,-13,0,1,1102,2020
98,7375596,20,-13,0,0,1102,2020
99,7455556,21,-12,0,0,1102,2020
100,7535590,19,-12,0,0,1103,2020
101,7615625,24,-13,0,0,1103,2020
102,7695545,25,-12,0,0,1103,2020
103,7775522,29,-12,0,0,1104,2020
104,7855574,22,-12,0,0,1104,2020
105,7935556,31,-12,0,0,1105,2020
106,8015536,27,-13,0,0,1105,2020
107,8095561,30,-13,0,0,1105,2020
108,8175554,25,-13,0,0,1106,2020
109,8255556,33,-12,-1,0,1106,2020
110,8335545,31,-13,-1,-1,1107,2020
111,8415524,37,-12,-1,0,1106,2020
112,8495505,36,-13,-1,0,1107,2020
113,8575510,39,-12,-1,0,1107,2020
114,8655534,39,-13,-1,0,1107,2020
115,8735492,43,-12,-1,0,1107,2020
116,8815500,45,-12,-1,0,1107,2020
117,8895491,38,-16,-1,-1,1108,2019
118,8975460,35,-13,-1,-2,1109,2019
119,9055479,39,-12,-1,-2,1109,2019
120,9135506,40,-17,-1,-3,1110,2019
121,9215501,43,-14,-1,-3,1110,2019
122,9295476,45,-11,-1,-3,1110,2019
123,9375452,50,-12,-1,-3,1110,2020
124,9455469,50,-9,-1,-3,1110,2020
125,9535444,52,-9,-1,-3,1111,2020
126,9615422,53,-8,-1,-3,1111,2019
127,9695463,52,-14,-1,-3,1111,2019
