Timestamp,c1,Current2,Current3,Current4,p1,Position2
12031546,74,-4,14,-5,1123,2016
12095556,74,-4,18,-6,1123,2016
12159571,75,-3,18,-5,1124,2016
12223486,75,-3,18,-5,1123,2016
12287561,-35,-3,18,-6,1124,2016
12351584,81,-3,19,-5,1124,2015
12415471,-31,-15,13,-3,1136,2020
12479421,-17,-44,13,-6,1141,2021
12543508,5,-43,12,0,1138,2020
12607517,0,-36,11,0,1140,2021
12671499,2,-35,14,0,1139,2020
12735483,1,-37,14,-1,1140,2021
12799522,6,-34,12,0,1141,2021
12863523,0,-37,13,0,1141,2021
12927520,32,-34,13,0,1141,2020
12991524,3,-37,11,0,1141,2021
13055482,6,-34,12,0,1142,2021
13119439,-28,-42,14,-2,1142,2020
13183434,7,-37,12,-2,1143,2021
13247455,4,-43,7,-2,1143,2020
13311380,9,-36,14,-2,1143,2021
13375392,8,-40,8,-2,1143,2020
13439416,8,-37,9,-2,1144,2020
13503472,8,-44,14,-2,1144,2021
13567422,12,-44,14,-2,1145,2020
13631490,12,-43,10,-2,1145,2020
13695445,-7,-42,13,-2,1145,2021
13759399,18,-44,14,-3,1145,2020
13823394,18,-42,13,-3,1146,2020
13887344,17,-44,13,-3,1146,2020
13951362,25,-44,12,-3,1146,2020
14015433,25,-44,8,-3,1146,2020
14079356,26,-44,13,-3,1147,2020
14143389,24,-41,12,-3,1148,2020
14207361,12,-38,11,-3,1150,2020
14271361,11,-41,11,-3,1150,2020
14335337,17,-41,10,-3,1150,2020
14399414,18,-44,9,-3,1150,2020
14463330,19,-44,13,-3,1150,2020
14527389,17,-44,14,-3,1151,2020
14591345,49,-40,13,-3,1151,2019
14655354,24,-43,13,-3,1151,2020
14719424,28,-44,12,-3,1152,2020
14783426,25,-42,13,-3,1152,2020
14847340,30,-40,14,-3,1152,2019
14911341,27,-43,12,-3,1152,2020
14975404,30,-41,13,-4,1153,2019
15039422,30,-27,13,-4,1153,2019
15103417,37,-32,12,-4,1153,2019
15167320,36,-25,13,-4,1154,2019
15231373,30,-25,13,-4,1155,2019
15295389,34,-25,14,-4,1155,2019
15359448,37,-25,14,-4,1155,2019
15423375,37,-25,12,-4,1155,2019
15487348,39,-24,14,-4,1155,2019
15551436,38,-24,10,-3,1156,2019
15615369,42,-25,14,-4,1156,2019
15679357,43,-25,13,-4,1156,2019
15743301,49,-24,14,-4,1156,2019
15807374,49,-26,13,-3,1156,2019
15871274,53,-25,13,-3,1157,2019
15935343,55,-24,14,-3,1156,2019
15999343,56,-25,14,-3,1157,2019
16063338,56,-25,13,-3,1157,2019
16127303,61,-25,10,-3,1157,2019
16191288,61,-29,14,-3,1157,2019
16255330,68,-25,10,-3,1157,2019
16319305,67,-24,14,-3,1157,2019
16383261,68,-25,14,-3,1158,2019
16447253,68,-25,13,-3,1158,2019
16511322,75,-25,13,-3,1158,2019
16575296,75,-25,14,-3,1158,2019
16639234,79,-25,13,-4,1159,2019
16703295,77,-25,13,-4,1159,2019
16767317,73,-25,13,-5,1159,2019
16831272,81,-25,10,-3,1159,2019
16895269,81,-24,13,-3,1160,2019
16959280,81,-25,13,-4,1160,2019
17023287,85,-25,13,-7,1160,2019
17087258,87,-25,13,-7,1160,2019
17151228,94,-25,13,-5,1161,2019
17215203,89,-24,13,-5,1160,2019
17279254,94,-25,13,-4,1161,2019
17343276,-22,-21,13,-6,1162,2017
17407210,51,-6,14,-5,1167,2017
17471202,58,-6,14,-5,1167,2017
17535258,62,-6,14,-5,1168,2017
17599229,60,-9,14,-6,1168,2017
17663190,68,-6,14,-8,1168,2017
17727253,67,-6,13,-9,1168,2017
17791210,67,-8,13,-8,1168,2016
17855219,74,-5,13,-9,1169,2016
17919223,75,-6,14,-5,1169,2016
17983212,75,-2,14,-6,1169,2016
18047180,23,-30,13,-3,1183,2021
18111160,-16,-36,8,-4,1183,2020
18175193,1,-44,11,-1,1183,2020
18239228,-7,-39,13,0,1184,2021
18303215,1,-37,8,0,1184,2021
18367135,0,-36,5,0,1184,2021
18431179,5,-36,13,0,1185,2021
18495173,0,-37,6,0,1185,2021
18559233,7,-36,7,0,1185,2021
18623200,0,-36,11,0,1186,2021
18687161,5,-36,6,0,1186,2021
18751146,3,-37,8,0,1186,2021
18815196,7,-37,12,0,1187,2021
18879137,7,-37,6,-2,1187,2021
18943184,5,-37,6,-2,1188,2021
19007118,5,-38,13,-2,1188,2021
19071126,10,-38,11,-2,1188,2021
19135231,9,-37,5,-2,1188,2020
19199135,13,-39,13,-2,1189,2021
19263129,13,-37,9,-2,1189,2020
19327134,12,-37,6,-3,1190,2021
19391139,14,-37,10,-3,1190,2020
19455144,17,-36,2,-3,1190,2021
