,time,c1,c2,c3,c4,p1,p2
0,144570,0,-1,-1,-1,1069,2021
1,224543,0,2,-1,-1,1069,2021
2,304528,0,-1,-1,-1,1069,2021
3,384511,0,0,-1,-2,1069,2021
4,464576,0,0,-1,-1,1069,2021
5,544549,0,0,-1,-2,1069,2021
6,624527,0,-1,-1,-1,1069,2021
7,704548,0,0,-1,-1,1069,2021
8,784519,0,0,-1,-1,1069,2021
9,864806,0,0,-1,-2,1069,2021
10,944534,4,-1,-1,-1,1070,2020
11,1024535,4,-10,-1,-1,1070,2021
12,1104538,0,-10,-1,-1,1069,2021
13,1184481,5,0,-1,-1,1071,2021
14,1264481,1,-13,-1,-1,1071,2020
15,1344482,3,2,-1,-1,1070,2021
16,1424504,2,-13,-1,-2,1071,2021
17,1504479,13,1,-1,-1,1071,2021
18,1584468,14,-32,-1,-1,1071,2020
19,1664462,0,-51,-1,-1,1072,2020
20,1744485,0,1,-1,-2,1072,2022
21,1824449,11,11,-1,-2,1072,2021
22,1904475,14,-9,-1,-2,1072,2020
23,1984423,6,-74,-1,-2,1073,2020
24,2064447,4,1,-1,-2,1072,2021
25,2144436,13,-1,-1,-7,1072,2021
26,2224442,14,-33,-1,-4,1073,2020
27,2304466,4,-50,-1,-4,1073,2020
28,2384432,0,1,-1,-3,1074,2021
29,2464428,12,0,-1,-6,1074,2021
30,2544430,14,-11,-1,-4,1074,2020
31,2624427,8,-72,-1,-4,1075,2019
32,2704415,4,2,-1,-4,1075,2020
33,2784394,15,-9,-1,-8,1075,2020
34,2864405,15,-50,-1,-6,1075,2019
35,2944406,3,-40,-1,-4,1075,2019
36,3024431,6,1,-1,-3,1075,2020
37,3104388,22,-1,-1,-5,1075,2020
38,3184386,16,-81,-1,-5,1076,2018
39,3264406,0,-36,-1,0,1078,2019
40,3344383,13,1,-1,-4,1076,2021
41,3424380,20,-10,-1,-4,1076,2019
42,3504401,2,-82,-1,-4,1077,2017
43,3584404,0,1,-1,0,1078,2020
44,3664372,17,-1,-1,-5,1077,2021
45,3744348,21,-14,-1,-4,1077,2019
46,3824358,2,-87,-1,-3,1079,2017
47,3904328,0,1,-1,0,1079,2020
48,3984374,22,-2,-1,-7,1077,2021
49,4064363,21,-22,-1,-5,1078,2019
50,4144330,0,-87,-1,0,1081,2016
51,4224416,-4,1,-1,0,1082,2019
52,4304326,41,-1,-1,-5,1077,2021
53,4384319,19,-108,-1,-9,1079,2011
54,4464330,0,5,-1,9,1083,2006
55,4544323,0,-51,-1,0,1082,2015
56,4624328,7,2,-1,-2,1081,2019
57,4704303,29,-8,-1,-3,1080,2019
58,4784300,14,-94,-1,-7,1080,2014
59,4864296,0,1,-1,0,1084,2015
60,4944311,0,-14,-1,-1,1082,2018
61,5024302,18,0,-1,-4,1081,2019
62,5104659,20,-21,-1,-4,1081,2017
63,5184279,0,-95,-1,0,1085,2016
64,5264280,-1,1,-1,0,1085,2018
65,5344290,30,-1,-1,-7,1081,2020
66,5424278,18,-51,-1,-7,1081,2014
67,5504288,0,-28,-1,0,1086,2009
68,5584295,-3,3,-1,0,1086,2016
69,5664253,4,-26,-1,0,1085,2017
70,5744224,8,2,-1,-2,1084,2018
71,5824250,1,-18,-1,-4,1085,2017
72,5904209,3,1,-1,-4,1085,2017
73,5984204,13,-4,-1,-4,1085,2017
74,6064235,14,-46,-1,-3,1085,2016
75,6144229,4,-35,-1,-4,1086,2016
76,6224242,5,3,-1,-4,1086,2017
77,6304207,12,-24,-1,-4,1086,2017
78,6384223,13,-41,-1,-4,1086,2016
79,6464237,13,-41,-1,-3,1086,2016
80,6544234,13,-45,-1,-4,1086,2016
81,6624220,21,-41,-1,-4,1086,2016
82,6704214,21,-65,-1,-4,1086,2016
83,6784201,0,-65,-1,-4,1088,2016
84,6864198,0,1,-1,-4,1088,2017
85,6944214,9,-2,-1,-7,1088,2018
86,7024198,10,-1,-1,-4,1089,2017
87,7104178,7,-47,-1,-4,1088,2016
88,7184178,3,-22,-1,-4,1088,2017
89,7264167,13,0,-1,-5,1089,2017
90,7344159,14,-32,-1,-7,1088,2016
91,7424173,1,-51,-1,-4,1090,2016
92,7504199,0,1,-1,-4,1090,2017
93,7584187,0,1,-1,-4,1091,2017
94,7664145,1,0,-1,-4,1091,2017
95,7744175,1,-1,-1,-4,1091,2017
96,7824143,0,-1,-1,-4,1091,2017
97,7904100,7,0,-1,-4,1091,2017
98,7984151,11,-6,-1,-4,1091,2017
99,8064160,6,-43,-1,-4,1091,2016
100,8144130,0,1,-1,-4,1092,2017
101,8224125,11,-1,-1,-4,1092,2017
102,8304100,5,-11,-1,-4,1092,2016
103,8384137,0,-29,-1,-4,1093,2016
104,8464146,0,1,-1,-4,1093,2017
105,8544107,6,0,-1,-4,1093,2017
106,8624114,2,-1,-1,-4,1094,2017
107,8704070,2,-17,-1,-4,1094,2017
108,8784113,2,0,-1,-4,1094,2017
109,8864085,14,0,-1,-4,1094,2016
110,8944077,14,-41,-1,-4,1094,2015
111,9024073,0,-59,-1,0,1095,2016
112,9104098,0,2,-1,0,1095,2017
113,9184047,0,-2,-1,0,1096,2017
114,9264069,0,0,-1,0,1096,2017
115,9344064,0,-1,-1,0,1096,2017
116,9424082,0,0,-1,0,1096,2017
117,9504080,0,-1,-1,0,1097,2017
118,9584069,6,0,-1,0,1097,2017
119,9664046,1,-3,-1,0,1097,2017
120,9744069,0,-18,-1,0,1097,2017
121,9824028,7,5,-1,0,1097,2017
122,9904040,0,-6,-1,-2,1099,2018
123,9984050,-8,-26,-1,-1,1102,2018
124,10063983,-10,-16,-1,0,1101,2019
125,10144027,-3,-25,-1,0,1101,2018
126,10223997,-3,1,-1,0,1102,2019
127,10304021,-12,-17,-1,0,1101,2019
128,10384015,-7,-31,-1,0,1102,2018
129,10464030,-4,-18,-1,0,1102,2019
130,10543972,-3,-12,-1,0,1102,2019
131,10624013,-6,-4,-1,-1,1102,2019
132,10703980,-6,-23,-1,0,1103,2019
133,10783980,-1,-10,-1,0,1103,2019
134,10863982,-1,1,-1,0,1103,2019
135,10943995,-1,-2,-1,0,1103,2019
136,11023969,-8,-5,-1,0,1103,2019
137,11103956,-3,-18,-1,0,1104,2019
138,11183964,-4,-18,-1,0,1104,2020
139,11263960,-9,-3,-1,0,1105,2020
140,11343979,-5,-22,-1,0,1105,2019
141,11423961,-2,-21,-1,0,1105,2020
142,11503987,-2,0,-1,0,1105,2020
143,11583959,-7,0,-1,0,1105,2020
144,11663948,-7,-29,-1,1,1105,2019
145,11743950,-1,-24,-1,0,1106,2019
146,11823929,-1,0,-1,0,1106,2020
147,11903926,-1,-3,-1,0,1106,2020
148,11984112,-2,-2,-1,0,1106,2020
149,12063943,-1,-2,-1,0,1106,2020
150,12143913,-1,-2,-1,0,1107,2020
151,12223915,-1,-2,-1,0,1106,2020
152,12303913,-1,-2,-1,0,1106,2021
153,12383898,0,0,-1,0,1107,2020
154,12464018,0,-1,-1,0,1106,2020
155,12543906,0,0,-1,0,1107,2020
156,12623928,0,-1,-1,0,1106,2020
157,12703887,0,-1,-1,0,1107,2020
158,12783900,0,0,-1,0,1107,2020
159,12863888,0,-1,-1,0,1107,2020
160,12943879,0,0,-1,0,1107,2021
161,13023874,0,-1,-1,0,1108,2021
162,13103866,0,0,-1,0,1109,2021
163,13183903,0,-1,-1,0,1108,2021
164,13263864,0,1,-1,0,1109,2021
165,13343865,0,-1,-1,0,1109,2021
166,13423850,0,0,-1,0,1109,2021
167,13503889,0,-1,-1,0,1109,2021
168,13583827,0,0,-1,0,1109,2021
169,13663830,0,-1,-1,0,1110,2021
170,13743856,0,0,-1,0,1110,2021
171,13823837,0,-1,-1,0,1110,2021
172,13903860,0,0,-1,0,1110,2021
173,13983826,0,-1,-1,0,1110,2021
174,14063810,1,0,-1,0,1111,2021
175,14143818,3,-1,-1,0,1111,2021
176,14223834,0,0,-1,0,1111,2021
177,14303797,2,-4,-1,0,1111,2021
178,14383796,4,-1,-1,0,1111,2021
179,14463795,0,-12,-1,0,1111,2021
180,14543798,3,0,-1,0,1112,2021
