Timestamp,c1,Current2,Current3,Current4,p1,Position2
11103419,67,-8,14,-3,1097,2017
11167425,67,-11,17,-3,1098,2017
11231496,67,-11,14,-3,1098,2017
11295406,69,-10,15,-3,1098,2017
11359410,74,-9,14,-3,1098,2017
11423393,75,-10,14,-3,1098,2017
11487372,75,-12,14,-3,1098,2017
11551358,74,-5,14,-3,1098,2016
11615354,75,-3,15,-4,1100,2016
11679317,75,-3,14,-4,1100,2015
11743322,74,-3,14,-4,1101,2016
11807321,74,-3,14,-4,1101,2016
11871362,81,-3,14,-4,1101,2016
11935376,80,-3,14,-4,1101,2015
11999336,84,-3,14,-4,1102,2016
12063299,79,-3,14,-4,1102,2016
12127367,85,-3,14,-4,1102,2016
12191269,86,-3,14,-4,1102,2016
12255338,92,-3,14,-4,1102,2016
12319280,92,-3,14,-5,1102,2016
12383302,101,-3,14,-6,1102,2015
12447256,97,-3,14,-4,1102,2016
12511231,100,-3,14,-3,1103,2015
12575264,-46,-2,14,-4,1113,2020
12639275,-14,-43,11,-9,1122,2020
12703325,0,-42,8,0,1118,2020
12767247,6,-36,5,0,1120,2020
12831246,0,-43,13,0,1121,2021
12895247,6,-43,10,0,1121,2021
12959256,0,-42,12,0,1122,2020
13023262,6,-41,9,0,1122,2020
13087306,8,-43,14,0,1122,2021
13151282,12,-40,11,0,1122,2021
13215296,9,-43,14,0,1122,2021
13279281,12,-42,9,0,1123,2021
13343235,13,-39,10,0,1123,2020
13407258,9,-43,12,0,1124,2020
13471268,13,-43,7,0,1124,2020
13535282,17,-43,11,0,1124,2020
13599262,17,-43,11,0,1124,2020
13663275,20,-44,12,0,1125,2020
13727262,20,-44,10,0,1125,2020
13791251,32,-44,7,-2,1125,2020
13855282,25,-44,10,-1,1125,2020
13919218,25,-44,14,-2,1126,2020
13983239,25,-44,11,-2,1126,2020
14047276,31,-44,14,-2,1126,2020
14111208,27,-43,8,-2,1127,2020
14175170,29,-41,11,-3,1129,2020
14239234,18,-29,10,-3,1129,2019
14303207,17,-32,11,-3,1130,2020
14367260,20,-41,11,-3,1130,2019
14431215,24,-37,9,-3,1130,2020
14495189,25,-36,9,-3,1130,2019
14559217,30,-34,14,-3,1130,2019
14623155,31,-35,10,-3,1130,2019
14687208,35,-35,11,-3,1131,2020
14751154,31,-32,9,-3,1131,2019
14815213,37,-37,2,-3,1131,2019
14879153,40,-32,6,-3,1131,2019
14943188,35,-34,13,-3,1132,2019
15007190,36,-25,14,-3,1131,2019
15071145,4,-25,14,-3,1132,2019
15135168,36,-24,8,-3,1134,2019
15199155,38,-25,14,-3,1134,2019
15263103,37,-25,14,-3,1134,2019
15327176,38,-25,14,-3,1135,2019
15391149,38,-25,14,-3,1134,2019
15455219,44,-25,14,-3,1135,2019
15519123,43,-25,13,-3,1135,2019
15583130,50,-25,14,-3,1135,2019
15647142,50,-25,14,-3,1135,2019
15711098,56,-25,14,-3,1135,2019
15775099,55,-25,11,-3,1135,2019
15839089,58,-25,14,-3,1136,2019
15903089,56,-25,10,-3,1136,2019
15967140,67,-25,10,-3,1136,2019
16031198,62,-24,14,-3,1136,2019
16095155,64,-24,11,-3,1136,2019
16159115,65,-25,14,-3,1137,2019
16223141,68,-24,14,-3,1137,2019
16287133,68,-25,14,-3,1137,2019
16351135,72,-25,14,-3,1138,2019
16415165,68,-25,14,-3,1138,2019
16479093,75,-25,14,-3,1138,2019
16543119,75,-25,14,-3,1138,2019
16607082,81,-25,14,-3,1138,2019
16671127,79,-24,14,-3,1138,2019
16735108,81,-24,14,-3,1139,2019
16799106,80,-24,14,-4,1139,2019
16863113,86,-24,13,-4,1139,2019
16927078,87,-24,16,-4,1139,2019
16991106,87,-26,14,-4,1140,2018
17055089,78,-7,14,-4,1143,2017
17119092,59,-6,14,-5,1146,2016
17183114,56,-3,14,-8,1146,2016
17247150,60,-5,16,-5,1146,2016
17311058,60,-4,15,-6,1147,2016
17375077,67,-6,15,-4,1147,2017
17439006,60,-7,14,-5,1147,2016
17503079,68,-5,14,-5,1147,2017
17567049,67,-4,14,-5,1147,2017
17631036,75,-4,14,-4,1147,2016
17695042,75,-5,15,-4,1147,2016
17759055,85,-4,14,-4,1147,2016
17823038,81,-4,14,-5,1147,2017
17887059,81,-5,14,-4,1148,2016
17951113,81,-5,14,-4,1148,2017
18015041,63,-5,14,-4,1148,2016
18079077,87,-7,14,-7,1148,2016
18143011,88,-5,14,-5,1149,2016
18206977,86,-4,16,-6,1149,2016
18271036,93,-3,14,-6,1149,2015
18334999,92,-4,13,-4,1158,2019
18398952,-117,-41,14,-10,1167,2021
18463015,2,-40,11,0,1164,2020
18527007,0,-38,13,0,1166,2020
