,time,c1,c2,c3,c4,p1,p2
0,144002,-1,0,-1,-3,1058,2020
1,208013,-1,0,-1,-3,1058,2020
2,271990,-1,-1,-1,-3,1058,2020
3,335971,0,0,-1,-3,1058,2020
4,399964,0,0,-1,-3,1058,2020
5,463972,1,0,-1,-3,1058,2020
6,527968,3,0,-1,-3,1058,2020
7,591963,5,0,-1,-3,1059,2020
8,655938,3,0,-1,-2,1059,2020
9,719976,8,0,-1,-2,1060,2020
10,783908,13,0,-1,-2,1060,2020
11,863937,16,-21,-1,-3,1060,2020
12,943930,15,-19,-1,-3,1060,2020
13,1023947,21,-18,-1,-3,1061,2020
14,1103937,21,-19,-1,-3,1061,2020
15,1183937,27,-18,-1,-2,1061,2020
16,1263949,26,-19,-1,-2,1061,2020
17,1343923,27,-18,-1,-2,1062,2020
18,1423907,27,-18,-1,-2,1062,2020
19,1503924,33,-19,-1,-2,1062,2020
20,1583917,31,-19,-1,-3,1062,2020
21,1663885,19,-17,-1,-3,1064,2020
22,1743887,25,-19,-1,-3,1064,2020
23,1823895,37,-17,-1,-3,1065,2019
24,1903907,27,-20,-1,-3,1065,2020
25,1983867,34,-11,-1,-3,1065,2019
26,2063870,35,-18,-1,-3,1065,2019
27,2143890,32,-18,-1,-3,1066,2019
28,2223870,34,-19,-1,-3,1066,2019
29,2303865,37,-18,-1,-3,1066,2019
30,2383858,36,-18,-1,-3,1066,2019
31,2463851,39,-19,-1,-3,1067,2019
32,2543862,38,-19,-1,-3,1067,2019
33,2623844,41,-18,-1,-3,1068,2019
34,2703855,43,-18,-1,-3,1068,2019
35,2783834,45,-18,-1,-3,1068,2019
36,2863881,46,-19,-1,-3,1068,2019
37,2943823,45,-19,-1,-3,1069,2019
38,3023833,47,-17,-1,-3,1069,2019
39,3103837,48,-18,-1,-3,1070,2019
40,3183849,46,-18,-1,-3,1070,2019
41,3263772,51,-20,-1,-3,1070,2019
42,3343801,44,-15,-1,-3,1071,2018
43,3423813,50,-20,-1,-4,1071,2018
44,3503760,45,-18,-1,-4,1072,2018
45,3583791,49,-18,-1,-4,1072,2018
46,3663780,52,-19,-1,-4,1072,2018
47,3743784,57,-19,-1,-9,1072,2018
48,3823778,47,-14,-1,-6,1074,2018
49,3903783,38,-13,-1,-5,1075,2017
50,3983770,31,-10,-1,-4,1077,2016
51,4063785,18,-18,-1,-4,1079,2016
52,4143764,3,-18,-1,-4,1081,2016
53,4207763,11,-18,-1,-4,1081,2016
54,4287742,13,-19,-1,-4,1082,2016
55,4367765,20,-18,-1,-5,1082,2016
56,4447764,21,-18,-1,-4,1082,2016
57,4527769,22,-19,-1,-4,1082,2016
58,4607773,24,-19,-1,-4,1082,2016
59,4687748,24,-19,-1,-3,1083,2016
60,4767726,26,-18,-1,-4,1082,2016
61,4847713,33,-18,-1,-4,1083,2016
62,4927734,20,-19,-1,-4,1084,2016
63,5007739,0,-19,-1,-3,1089,2017
64,5071703,-12,-33,-1,-2,1091,2018
65,5151697,-6,4,-1,-2,1091,2020
66,5215692,-13,-6,-1,0,1092,2019
67,5295703,-8,0,-1,0,1092,2020
68,5359700,-7,0,-1,0,1092,2020
69,5423708,-3,0,-1,0,1093,2019
70,5488026,-3,0,-1,0,1093,2020
71,5551676,-3,0,-1,0,1093,2020
72,5615674,-2,2,-1,0,1093,2020
73,5679694,0,0,-1,0,1093,2020
74,5743681,0,0,-1,0,1093,2020
75,5807676,0,0,-1,0,1094,2020
76,5871672,0,0,-1,0,1094,2020
77,5935674,0,0,-1,0,1094,2020
78,5999700,0,0,-1,0,1095,2020
79,6063683,0,0,-1,0,1095,2020
80,6127657,0,0,-1,0,1096,2020
81,6191640,1,0,-1,0,1096,2020
82,6255651,5,0,-1,0,1096,2020
83,6319669,3,0,-1,0,1097,2020
84,6383649,9,0,-1,0,1097,2020
85,6447661,4,0,-1,0,1099,2020
86,6511659,0,-1,-1,0,1100,2020
87,6575625,0,-1,-1,0,1100,2021
88,6639621,0,-2,-1,0,1100,2020
89,6703626,2,-1,-1,0,1100,2020
90,6767633,1,0,-1,0,1101,2020
91,6831580,7,0,-1,0,1101,2020
92,6895601,11,0,-1,0,1101,2020
93,6975641,13,93,-1,0,1102,2020
94,7039590,10,-19,-1,0,1102,2020
95,7103600,15,-18,-1,0,1103,2020
96,7183588,18,-18,-1,1,1103,2020
97,7263592,21,-18,-1,1,1103,2020
98,7343610,21,-18,-1,0,1103,2020
99,7423585,21,-18,-1,0,1103,2020
100,7503611,22,-18,-1,0,1104,2020
101,7583594,26,-18,-1,0,1104,2020
102,7663556,21,-19,-1,0,1105,2020
103,7743555,22,-21,-1,0,1105,2020
104,7823571,22,-19,-1,0,1106,2020
105,7903571,27,-19,-1,0,1106,2020
106,7983590,26,-18,-1,0,1106,2020
107,8063535,29,-19,-1,0,1106,2020
108,8143558,25,-19,-1,0,1107,2020
109,8223544,31,-18,-1,0,1107,2020
110,8303557,32,-19,-1,0,1107,2020
111,8383527,36,-18,-1,0,1108,2020
112,8463543,36,-18,-1,0,1108,2020
113,8543562,41,-18,-1,0,1108,2020
114,8623507,40,-18,-1,0,1108,2020
115,8703516,44,-18,-1,0,1108,2020
116,8783501,35,-18,-1,-2,1109,2020
117,8863509,31,-14,-1,-2,1111,2019
118,8943514,36,-20,-1,-2,1111,2019
119,9023494,39,-17,-1,-2,1111,2019
120,9103517,38,-20,-1,-2,1111,2019
121,9183491,41,-18,-1,-2,1111,2019
122,9263487,44,-19,-1,-2,1111,2019
123,9343480,46,-18,-1,-2,1112,2019
124,9423477,46,-18,-1,-2,1112,2019
125,9503451,50,-19,-1,-2,1112,2019
126,9583486,45,-18,-1,-2,1113,2019
127,9663448,51,-18,-1,-2,1113,2019
128,9743450,50,-19,-1,-2,1114,2019
129,9823466,57,-19,-1,-2,1113,2019
