,time,c1,c2,c3,c4,p1,p2
0,143067,0,-2,-1,-2,1063,2020
1,223032,0,0,-1,-2,1063,2020
2,303079,0,-1,-1,-2,1062,2020
3,383051,0,0,-1,-2,1063,2020
4,463047,0,-1,-1,-2,1062,2020
5,543060,0,0,-1,-2,1063,2021
6,623037,0,0,-1,-2,1063,2020
7,703044,0,-1,-1,-2,1062,2020
8,783036,0,0,-1,-2,1063,2020
9,863029,2,-1,-1,-2,1063,2020
10,943057,3,0,-1,-2,1063,2021
11,1023027,2,0,-1,-2,1063,2021
12,1103019,4,0,-1,-2,1063,2020
13,1183003,6,-1,-1,-2,1064,2020
14,1263033,9,0,-1,-2,1065,2020
15,1343035,10,-2,-1,-2,1064,2020
16,1423076,13,-3,-1,-2,1065,2020
17,1503095,14,-3,-1,-1,1065,2020
18,1583000,14,-3,-1,-2,1065,2020
19,1663007,18,-3,-1,-2,1065,2020
20,1742962,20,-4,-1,-1,1065,2020
21,1822962,22,-5,-1,-2,1065,2021
22,1902971,23,-3,-1,-1,1066,2020
23,1982985,23,-5,-1,-1,1066,2020
24,2062926,23,-4,-1,-2,1065,2020
25,2142974,26,-6,-1,-2,1066,2020
26,2222968,27,-9,-1,-2,1066,2020
27,2302971,27,-12,-1,-2,1066,2020
28,2382984,34,-6,-1,-2,1067,2020
29,2462946,28,-15,-1,-1,1067,2020
30,2542953,29,-9,-1,-2,1067,2020
31,2622934,34,-9,-1,-1,1067,2020
32,2702956,36,-21,-1,-2,1067,2020
33,2782938,26,-7,-1,-3,1068,2020
34,2862927,30,-6,-1,-3,1068,2020
35,2942934,26,-11,-1,-3,1069,2020
36,3022902,27,-5,-1,-3,1069,2020
37,3102902,27,-6,-1,-3,1069,2020
38,3182907,30,-12,-1,-3,1070,2020
39,3262904,29,-5,-1,-3,1070,2020
40,3342908,35,-6,-1,-3,1070,2020
41,3422910,36,-21,-1,-3,1070,2020
42,3502920,34,-6,-1,-3,1070,2020
43,3582885,37,-14,-1,-3,1071,2019
44,3662839,38,-21,-1,-3,1070,2019
45,3742850,38,-11,-1,-3,1071,2019
46,3822851,41,-22,-1,-3,1071,2019
47,3902875,41,-20,-1,-3,1071,2020
48,3982842,41,-9,-1,-3,1071,2020
49,4062874,44,-24,-1,-3,1071,2020
50,4142850,33,-7,-1,-3,1072,2019
51,4222857,38,-16,-1,-3,1072,2019
52,4302866,41,-13,-1,-3,1073,2019
53,4382838,41,-25,-1,-3,1073,2019
54,4462840,41,-13,-1,-3,1073,2019
55,4542820,47,-25,-1,-3,1073,2019
56,4622832,46,-13,-1,-3,1073,2019
57,4702859,46,-26,-1,-3,1073,2019
58,4782934,48,-13,-1,-3,1073,2019
59,4862835,51,-23,-1,-3,1073,2019
60,4942831,50,-26,-1,-3,1074,2019
61,5022777,45,-24,-1,-3,1075,2019
62,5102785,41,-11,-1,-3,1075,2019
63,5182793,42,-23,-1,-3,1075,2019
64,5262780,48,-9,-1,-3,1076,2019
65,5342801,48,-28,-1,-3,1076,2019
66,5422811,47,-9,-1,-3,1076,2018
67,5502804,50,-22,-1,-4,1076,2018
68,5582764,53,-25,-1,-4,1077,2018
69,5662767,52,-26,-1,-4,1077,2018
70,5742805,57,-25,-1,-3,1076,2018
71,5822831,57,-24,-1,-3,1077,2019
72,5902794,56,-25,-1,-4,1076,2018
73,5982744,59,-26,-1,-3,1076,2018
74,6062768,61,-31,-1,-3,1077,2018
75,6142794,60,-25,-1,-3,1077,2018
76,6222731,67,-27,-1,-4,1077,2018
77,6302734,65,-43,-1,-4,1077,2018
78,6382760,66,-26,-1,-4,1077,2018
79,6462699,64,-46,-1,-4,1078,2018
80,6542764,25,-6,-1,-3,1082,2017
81,6622766,13,-2,-1,-4,1086,2017
82,6702747,21,-1,-1,-4,1086,2017
83,6782734,22,-1,-1,-3,1086,2016
84,6862691,22,-4,-1,-3,1086,2016
85,6942702,25,-5,-1,-4,1086,2016
86,7022716,26,-7,-1,-3,1086,2016
87,7102716,27,-13,-1,-3,1086,2016
88,7182715,14,-8,-1,-3,1088,2016
89,7262734,11,-4,-1,-4,1089,2016
90,7342702,11,-3,-1,-4,1089,2017
91,7422705,16,0,-1,-4,1090,2016
92,7502664,16,-10,-1,-4,1090,2016
93,7582720,18,-7,-1,-3,1089,2016
94,7662673,21,-4,-1,-4,1090,2016
95,7742694,22,-5,-1,-4,1090,2016
96,7822663,22,-5,-1,-3,1090,2017
97,7902673,26,-3,-1,-3,1090,2016
98,7982709,26,-10,-1,-4,1090,2016
99,8062676,26,-7,-1,-4,1090,2016
100,8142668,30,-8,-1,-4,1090,2016
101,8222642,0,-25,-1,-4,1095,2018
102,8302647,-7,2,-1,-4,1097,2019
103,8382627,-8,0,-1,-3,1097,2020
104,8462642,-10,0,-1,-3,1098,2020
