Timestamp,c1,Current2,Current3,Current4,p1,Position2
3328317,0,0,0,0,972,2017
3392228,0,0,0,0,972,2017
3456276,0,0,0,0,972,2017
3520210,0,0,0,0,972,2017
3584211,0,0,0,0,972,2017
3648269,2,0,0,0,972,2017
3712253,1,5,0,0,973,2017
3776199,4,0,0,0,973,2017
3840234,1,0,0,0,974,2017
3904192,9,0,0,0,974,2017
3968206,13,5,0,0,975,2017
4032170,14,0,0,0,975,2017
4096300,17,0,0,0,975,2017
4160202,19,0,0,0,975,2017
4224204,22,0,0,0,975,2017
4288202,25,0,0,0,975,2017
4352162,23,0,0,0,976,2016
4416262,30,0,0,0,975,2017
4480235,29,0,0,0,976,2017
4544182,32,0,0,0,976,2017
4608165,36,3,0,0,976,2017
4672196,37,0,0,0,976,2017
4736164,37,0,0,0,976,2017
4800186,42,0,0,0,977,2016
4864160,41,0,0,0,977,2017
4928139,43,3,0,0,977,2017
4992141,30,0,0,0,979,2017
5056132,6,0,0,0,983,2016
5120219,16,0,0,0,983,2017
5184139,17,0,0,0,983,2017
5248144,16,0,0,0,984,2017
5312150,20,0,0,0,984,2017
5376131,22,0,0,0,984,2017
5440094,24,0,0,0,984,2017
5504100,25,0,0,0,985,2017
5568130,31,0,0,0,985,2017
5632108,30,0,0,0,985,2016
5696108,33,0,0,0,985,2017
5760087,24,4,0,0,986,2017
5824086,5,0,0,0,989,2017
5888114,17,0,0,0,989,2017
5952177,21,0,0,0,989,2017
6016153,23,0,0,0,989,2017
6080060,25,0,0,0,989,2017
6144133,25,0,0,0,989,2017
6208172,31,0,0,0,989,2016
6272105,21,0,0,0,990,2017
6336052,5,0,0,0,993,2017
6400072,15,0,0,0,993,2017
6464062,19,0,0,0,993,2017
6528061,20,0,0,0,993,2017
6592061,24,0,0,0,993,2017
6656105,26,0,0,0,994,2017
6720115,31,0,0,0,994,2017
6784060,28,0,0,1,994,2017
6848075,32,0,0,0,994,2017
6912093,25,0,0,0,995,2017
6976026,14,0,0,2,997,2017
7040036,21,2,0,0,997,2017
7104058,26,0,0,0,998,2017
7168002,26,0,0,0,997,2017
7232060,31,0,0,0,998,2017
7296022,31,0,0,0,998,2017
7360079,34,0,0,0,998,2016
7424023,35,0,0,0,998,2016
7488056,36,0,0,0,998,2017
7552056,33,0,0,0,999,2017
7616093,8,0,0,0,1002,2017
7679980,22,0,0,0,1002,2017
7743982,25,0,0,0,1002,2017
7808018,28,0,0,3,1002,2017
7872015,32,0,0,0,1003,2017
7935984,33,0,0,0,1002,2017
8000008,37,0,0,0,1003,2017
8063968,37,0,0,0,1003,2017
8127984,39,0,0,1,1003,2017
8192031,21,0,0,0,1005,2017
8255969,15,0,0,0,1007,2017
8319969,21,0,0,0,1007,2017
8384020,23,0,0,0,1008,2017
8448020,23,0,0,0,1007,2017
8511934,28,0,0,0,1008,2017
8575989,28,0,0,0,1008,2017
8639930,30,0,0,0,1008,2017
8704007,8,0,0,0,1010,2017
8767924,18,0,0,0,1011,2017
8831981,22,0,0,0,1011,2017
8895989,26,0,0,0,1011,2017
8959928,27,0,0,0,1011,2017
9023933,31,0,0,0,1011,2017
9087897,20,0,0,0,1013,2017
9151949,5,0,0,0,1014,2017
9215944,15,0,0,0,1015,2017
9279916,19,0,0,0,1015,2017
9343914,22,0,0,3,1015,2017
9407971,25,0,0,0,1015,2017
9471945,27,0,0,0,1015,2017
9535891,33,0,0,0,1016,2017
9599935,25,0,0,3,1016,2017
9663940,11,0,0,0,1019,2017
9727970,15,0,0,0,1019,2017
9791916,20,0,0,0,1019,2017
9855879,21,0,0,0,1020,2017
9919921,24,0,0,0,1019,2017
9983881,23,0,0,0,1020,2017
10047977,26,0,0,0,1020,2017
10111933,27,0,0,0,1020,2017
10175851,31,0,0,0,1020,2017
10239919,23,0,0,0,1021,2017
10303900,7,0,0,0,1024,2017
10367928,16,0,0,0,1024,2017
10431978,23,0,0,0,1024,2017
10495838,23,0,0,0,1024,2017
10559834,27,0,0,0,1024,2017
10623847,27,0,0,0,1024,2017
10687828,32,0,0,0,1024,2017
10751897,22,0,0,0,1026,2017
10815832,5,0,0,0,1028,2017
10879894,14,0,0,0,1028,2017
10943850,20,0,0,0,1028,2017
11007805,21,0,0,0,1028,2017
11071825,23,0,0,0,1029,2017
11135860,23,0,0,0,1029,2017
11199850,25,0,0,0,1029,2017
11263837,28,0,0,0,1029,2017
